Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
262,907200340,-1.1612617398535,RL,0.3198284369140738,0.32853085620164746,Pave,,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1976,1976,Gable,CompShg,HdBoard,HdBoard,,-0.8005598681826974,TA,TA,CBlock,TA,Gd,Av,LwQ,0.06534377864873826,ALQ,2.7128136034517856,0.0,-0.2971215294514059,GasA,TA,Y,SBrkr,-0.6380428648333168,0,-0.11764705882352938,-1.433204440360383,1.0,-0.2520334722678233,1,0,3,-0.16559760788883857,TA,5,Typ,0,,Attchd,1976.0,Unf,1.0,308.0,TA,TA,Y,1.276538209550086,-1.0821534772425476,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,MnPrv,,-0.19087792627196232,2,2010,WD ,Normal,128200
263,907203070,-1.1612617398535,RL,-0.0015357623764802094,-0.36918581318721505,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1972,1972,Gable,CompShg,Wd Sdng,Wd Sdng,,-0.8005598681826974,TA,TA,CBlock,TA,TA,Av,ALQ,0.5679095944661436,Unf,-0.3689137607610984,396.0,-0.33873036119587685,GasA,TA,Y,SBrkr,-0.7019360139269873,0,-0.11764705882352938,-1.4963020750739875,1.0,-0.2520334722678233,1,0,3,-0.16559760788883857,TA,5,Typ,0,,Detchd,1977.0,Unf,2.0,484.0,TA,TA,Y,-0.9506828398842129,-1.0821534772425476,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,MnPrv,,-0.19087792627196232,6,2010,WD ,Normal,127000
264,907250030,-1.1612617398535,RL,0.5415620024667336,0.27848507354000207,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2003,2003,Hip,CompShg,CemntBd,CmentBd,BrkFace,1.3396583116933867,Gd,TA,PConc,Gd,TA,No,GLQ,1.4069152094114734,Unf,-0.3689137607610984,296.0,1.9454875033440635,GasA,Ex,Y,SBrkr,1.7965675575859756,0,-0.11764705882352938,1.0156276513833473,1.0,-0.2520334722678233,2,1,3,-0.16559760788883857,Gd,8,Typ,1,Gd,Attchd,2003.0,RFn,3.0,850.0,TA,TA,Y,1.0755569446446298,0.4077473802547272,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,5,2010,WD ,Normal,318000
265,907252120,-1.1612617398535,RL,0.09167031454663827,0.4707290040497111,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.3988968849670973,Gd,TA,PConc,Gd,TA,Av,GLQ,1.2462806638145316,Unf,-0.3689137607610984,223.0,1.1716313144281327,GasA,Ex,Y,SBrkr,1.159620681796626,0,-0.11764705882352938,0.3663959985051997,1.0,-0.2520334722678233,2,0,3,-0.16559760788883857,Gd,6,Typ,1,TA,Attchd,2001.0,RFn,2.0,670.0,TA,TA,Y,1.0620352423964101,-1.0821534772425476,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,MnPrv,Shed,5.238950464142361,5,2010,WD ,Normal,272000
266,907262050,0.4810564716684044,RL,-1.2299552729031988,0.10941946880916881,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,6,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.2809992327446882,Gd,TA,PConc,Gd,TA,No,GLQ,0.5715132007925136,Unf,-0.3689137607610984,458.0,-0.18942862809583128,GasA,Ex,Y,SBrkr,-0.47743464698938126,888,-0.11764705882352938,0.7754152168559035,1.0,-0.2520334722678233,2,1,3,-0.16559760788883857,Gd,7,Typ,1,TA,Attchd,2003.0,RFn,2.0,613.0,TA,TA,Y,1.082088066468934,0.613170728788685,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,1,2010,WD ,Normal,237000
267,907280040,0.4810564716684044,RL,0.3198284369140738,0.07304134008017867,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1997,1997,Gable,CompShg,VinylSd,VinylSd,,-0.8005598681826974,Gd,TA,PConc,Gd,TA,No,Unf,-1.3556223614686533,Unf,-0.3689137607610984,1040.0,0.03322085482500812,GasA,Ex,Y,SBrkr,-0.15334696659579705,1054,-0.11764705882352938,1.196092391885173,0.0,-0.2520334722678233,2,1,4,-0.16559760788883857,Gd,9,Typ,1,TA,Attchd,1997.0,Fin,2.0,621.0,TA,TA,Y,1.2475431395398868,0.6010416799928692,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,4,2010,WD ,Normal,240000
268,907290040,-1.1612617398535,RL,-1.0083457753352785,0.5948163552686518,Pave,,IR2,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.3875901725584927,TA,TA,PConc,Gd,TA,No,Unf,-1.3556223614686533,Unf,-0.3689137607610984,1649.0,1.3072860497113474,GasA,Ex,Y,SBrkr,1.2710275287744504,0,-0.11764705882352938,0.479503878017961,0.0,-0.2520334722678233,2,0,3,-0.16559760788883857,Gd,6,Typ,0,,Attchd,1998.0,RFn,2.0,598.0,TA,TA,Y,-0.9506828398842129,0.5492785855497734,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,5,2010,WD ,Normal,224900
269,907290170,1.3480369764281728,RM,0.09167031454663827,-1.344558473504187,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.2331183794554308,Gd,TA,PConc,Gd,TA,Av,GLQ,0.7700472329869376,Unf,-0.3689137607610984,176.0,-0.40387449061077346,GasA,Ex,Y,SBrkr,-0.8041439017310094,0,-0.11764705882352938,-1.5971167653964,1.0,-0.2520334722678233,1,0,1,-0.16559760788883857,Gd,4,Typ,0,,Attchd,2003.0,Fin,2.0,420.0,TA,TA,Y,0.9830482089279095,-1.0821534772425476,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,4,2010,WD ,Normal,143750
270,907290240,1.3480369764281728,RM,0.09167031454663827,-1.3482216752420926,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,TwnhsE,1Story,6,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.2320393127402312,Gd,TA,PConc,Gd,TA,Av,GLQ,0.7607058915659836,Unf,-0.3689137607610984,186.0,-0.40387449061077346,GasA,Ex,Y,SBrkr,-0.8041439017310094,0,-0.11764705882352938,-1.5971167653964,1.0,-0.2520334722678233,1,0,1,-0.16559760788883857,Gd,3,Typ,0,,Attchd,2004.0,RFn,2.0,420.0,TA,TA,Y,1.0251948732458458,-1.0821534772425476,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,5,2010,WD ,Normal,143000
271,907401090,-1.1612617398535,RL,-1.0083457753352785,0.3256837403548753,Pave,,IR2,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2003,2003,Hip,CompShg,VinylSd,VinylSd,BrkFace,1.234189475589449,Gd,TA,PConc,Gd,TA,Av,BLQ,0.4218656118727937,GLQ,2.712894049387447,315.0,1.32315438874316,GasA,Ex,Y,SBrkr,1.2837462502946637,0,-0.11764705882352938,0.4924287957516318,1.0,-0.2520334722678233,2,0,3,-0.16559760788883857,Gd,8,Typ,1,TA,Attchd,2003.0,Fin,2.0,502.0,TA,TA,Y,-0.9506828398842129,1.5353474099674076,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,5,2010,WD ,Normal,232000
272,907410080,-1.1612617398535,RL,0.09167031454663827,-0.14363204526880297,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.14702786982389,Gd,TA,PConc,Gd,TA,Av,GLQ,0.8063727203734102,Unf,-0.3689137607610984,761.0,0.9531924178037597,GasA,Ex,Y,SBrkr,0.9290468165887865,0,-0.11764705882352938,0.13289838861990458,1.0,-0.2520334722678233,2,0,3,-0.16559760788883857,Gd,7,Typ,0,,Attchd,2004.0,RFn,2.0,606.0,TA,TA,Y,-0.9506828398842129,0.5627415813298232,-0.4309900586356161,8.842465108169169,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,5,2010,WD ,Normal,213000
273,907414030,-1.1612617398535,RL,-0.14357213275236988,-0.05827556831882716,Pave,,Reg,Lvl,AllPub,FR2,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,1.1249195407152344,Gd,TA,PConc,Gd,TA,Av,GLQ,-0.6795652596352812,Unf,-0.3689137607610984,1390.0,0.832209595519797,GasA,Ex,Y,SBrkr,0.7816866834949469,0,-0.11764705882352938,-0.0159111900375854,0.0,-0.2520334722678233,2,0,3,-0.16559760788883857,Gd,6,Typ,0,,Attchd,2004.0,RFn,2.0,494.0,TA,TA,Y,0.9643483162453703,1.0854265148536844,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,5,2010,WD ,Normal,185500
274,908102060,-0.5158490128824644,RL,-0.04857801317940553,-0.05737747367837247,Pave,,Reg,Lvl,AllPub,Inside,Mod,Edwards,Feedr,Norm,1Fam,1Story,3,6,1945,2007,Gable,CompShg,VinylSd,VinylSd,,-0.8005598681826974,TA,Gd,CBlock,,,,,-1.3556223614686533,,-0.3689137607610984,0.0,-3.015058239039163,GasA,TA,N,SBrkr,-1.6978735824948898,0,-0.11764705882352938,-2.4724134188160107,0.0,-0.2520334722678233,1,0,2,-0.16559760788883857,TA,5,Min1,0,,Detchd,1945.0,Unf,1.0,240.0,TA,TA,N,-0.9506828398842129,-1.0821534772425476,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,4,2010,ConLD,Normal,84900
275,908102110,-1.1612617398535,RL,-0.0015357623764802094,-0.04283314888368937,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1954,1954,Gable,CompShg,VinylSd,VinylSd,,-0.8005598681826974,TA,Gd,CBlock,Fa,TA,No,Unf,-1.3556223614686533,Unf,-0.3689137607610984,381.0,-1.5933760137294244,GasA,Ex,Y,SBrkr,-0.3125050362103815,0,-0.11764705882352938,-1.1108139104674344,0.0,-0.2520334722678233,1,0,3,-0.16559760788883857,TA,6,Typ,0,,Detchd,1954.0,Unf,1.0,319.0,TA,TA,Y,0.7063754018791765,-1.0821534772425476,2.313784270368258,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,MnPrv,,-0.19087792627196232,1,2010,Oth,Abnorml,155891
276,908102130,1.003334441155785,RL,0.3198284369140738,0.16648879739795935,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,5,5,1965,1965,Hip,CompShg,AsphShn,AsphShn,,-0.8005598681826974,TA,TA,CBlock,,,,,-1.3556223614686533,,-0.3689137607610984,0.0,-3.015058239039163,GasA,TA,N,SBrkr,1.2764853555248752,0,-0.11764705882352938,0.4850498855892718,0.0,-0.2520334722678233,2,0,4,3.891437000695665,TA,8,Typ,0,,,0.0,,0.0,0.0,,,Y,-0.9506828398842129,-1.0821534772425476,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,5,2010,WD ,Normal,100000
277,908102170,-1.1612617398535,RL,-0.3866826538075703,0.21062546449883596,Pave,,IR1,Low,AllPub,CulDSac,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,1968,1968,Gable,CompShg,MetalSd,MetalSd,,-0.8005598681826974,TA,TA,CBlock,Gd,TA,Gd,ALQ,1.0763124923957392,Unf,-0.3689137607610984,126.0,0.3738503728693503,GasA,TA,Y,SBrkr,0.26770693411526997,0,-0.11764705882352938,-0.532414674698882,1.0,-0.2520334722678233,1,0,3,-0.16559760788883857,TA,6,Typ,0,,Attchd,1968.0,RFn,1.0,336.0,TA,TA,Y,1.1715057161138303,-1.0821534772425476,2.3244654236942925,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,MnPrv,,-0.19087792627196232,6,2010,WD ,Normal,144000
278,908102300,0.23178037960451875,RL,0.9262351567250382,0.5356753113405349,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,4,5,1948,1950,Gable,CompShg,VinylSd,VinylSd,,-0.8005598681826974,TA,TA,CBlock,TA,TA,No,Unf,-1.3556223614686533,Unf,-0.3689137607610984,744.0,-0.6506548766828079,GasA,Ex,N,FuseF,-1.019742253475614,328,-0.11764705882352938,-0.735287976205768,0.0,-0.2520334722678233,1,0,2,-0.16559760788883857,Fa,5,Typ,0,,Detchd,1956.0,Unf,2.0,480.0,TA,Fa,P,-0.9506828398842129,-1.0821534772425476,-0.4309900586356161,-0.11309063567309342,3.2319331950125125,-0.06675802219656336,,,,-0.19087792627196232,6,2010,WD ,Abnorml,64000
279,908103350,0.8560961095182205,RL,-0.14357213275236988,-0.6953606263008347,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,SLvl,6,6,1975,1975,Gable,CompShg,Plywood,Plywood,,-0.8005598681826974,TA,TA,CBlock,TA,TA,Av,ALQ,0.6235998815095575,Unf,-0.3689137607610984,480.0,-0.0381545314622288,GasA,TA,Y,SBrkr,-0.0023786060932577363,0,-0.11764705882352938,-0.8022659233853063,1.0,-0.2520334722678233,1,0,3,-0.16559760788883857,TA,5,Typ,1,Fa,Detchd,1975.0,Unf,1.0,352.0,TA,TA,Y,-0.9506828398842129,-1.0821534772425476,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,6,2010,WD ,Normal,125200
280,908152080,0.8560961095182205,RL,1.132727135287705,-0.2834000545372602,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,SLvl,6,5,1976,1976,Gable,CompShg,Plywood,Plywood,,-0.8005598681826974,TA,TA,CBlock,TA,TA,Av,ALQ,0.4945639832534945,BLQ,2.710353076195146,480.0,0.008747067517982578,GasA,TA,Y,SBrkr,0.05644902001850636,0,-0.11764705882352938,-0.7435801468224057,1.0,-0.2520334722678233,1,0,3,-0.16559760788883857,TA,6,Typ,1,TA,Detchd,1976.0,Unf,2.0,672.0,TA,TA,Y,0.9919734095971722,-1.0821534772425476,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,MnPrv,,-0.19087792627196232,3,2010,WD ,Abnorml,107000
281,908203100,-1.1612617398535,RL,-0.19153716814302726,-0.6641503789276553,Pave,,Reg,HLS,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,5,1958,1958,Hip,CompShg,WdShing,Wd Shng,,-0.8005598681826974,TA,TA,CBlock,TA,TA,No,Unf,-1.3556223614686533,Unf,-0.3689137607610984,960.0,-0.14626956593700952,GasA,Ex,Y,SBrkr,-0.4149070811612119,0,-0.11764705882352938,-1.2123897357970037,0.0,-0.2520334722678233,1,0,3,-0.16559760788883857,TA,5,Typ,0,,,0.0,,0.0,0.0,,,Y,-0.9506828398842129,-1.0821534772425476,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,MnPrv,,-0.19087792627196232,5,2010,WD ,Normal,90000
282,908208020,-1.1612617398535,RM,0.5415620024667336,-0.10983611539655364,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Edwards,Norm,Norm,1Fam,1Story,4,5,2003,2004,Gable,CompShg,VinylSd,VinylSd,,-0.8005598681826974,TA,TA,PConc,Gd,TA,No,Unf,-1.3556223614686533,Unf,-0.3689137607610984,1121.0,0.211539078783825,GasA,Ex,Y,SBrkr,0.06752129525982997,0,-0.11764705882352938,-0.7325289270410393,0.0,-0.2520334722678233,2,0,2,-0.16559760788883857,TA,5,Typ,0,,Attchd,2003.0,RFn,2.0,440.0,TA,TA,Y,0.9643483162453703,0.8471259360975562,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,3,2010,WD ,Normal,140000
283,908225320,0.23178037960451875,RL,-0.7944563325386189,-0.06547318638586345,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1.5Fin,6,4,1945,1950,Gable,CompShg,VinylSd,VinylSd,,-0.8005598681826974,TA,TA,CBlock,TA,Fa,No,LwQ,-0.2179745821637235,Unf,-0.3689137607610984,641.0,-0.6723946941519359,GasA,TA,Y,FuseA,-0.9958819747930726,689,-0.11764705882352938,0.13911569391336553,0.0,-0.2520334722678233,1,1,3,-0.16559760788883857,TA,7,Typ,1,Gd,Detchd,1949.0,Unf,1.0,220.0,TA,TA,Y,-0.9506828398842129,1.225689455841678,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,MnPrv,,-0.19087792627196232,4,2010,WD ,Normal,113000
284,908226130,1.8567023418087896,RL,-0.3866826538075703,0.6020846574196327,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,2fmCon,1.5Fin,4,4,1941,1950,Gable,CompShg,MetalSd,MetalSd,,-0.8005598681826974,TA,Fa,BrkTil,Gd,TA,No,BLQ,0.3887178313236694,Unf,-0.3689137607610984,324.0,-0.8264597230453765,Grav,Fa,N,FuseA,-1.5418484849453533,252,-0.11764705882352938,-1.3308521260976716,1.0,-0.2520334722678233,1,0,2,-0.16559760788883857,Fa,5,Typ,0,,Detchd,1941.0,Unf,1.0,280.0,TA,TA,Y,-0.9506828398842129,-1.0821534772425476,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,MnPrv,,-0.19087792627196232,7,2010,WD ,Normal,80000
285,908275300,-1.1612617398535,RL,-0.0015357623764802094,-0.10616307399923793,Pave,,Reg,Lvl,AllPub,Inside,Mod,Edwards,Norm,Norm,1Fam,1Story,5,6,1957,2002,Hip,CompShg,HdBoard,HdBoard,Stone,1.2034381779170842,TA,TA,CBlock,TA,TA,Av,Rec,0.44074450475379984,Unf,-0.3689137607610984,833.0,0.416707271550726,GasA,Ex,Y,FuseA,1.0139667424192518,0,-0.11764705882352938,0.21880178764975425,0.0,-0.2520334722678233,1,0,4,-0.16559760788883857,TA,7,Min2,1,Gd,Basment,1957.0,Unf,1.0,364.0,TA,TA,Y,0.9230103694834139,0.9418542207711351,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,5,2010,WD ,Normal,144500
286,909100080,-0.5158490128824644,RL,-0.04857801317940553,-1.1811622411746436,Pave,,Reg,Bnk,AllPub,Inside,Gtl,SWISU,Artery,Norm,1Fam,1Story,5,6,1924,1999,Gable,CompShg,MetalSd,VinylSd,BrkFace,1.2648029525453692,TA,TA,BrkTil,TA,TA,Mn,Rec,-0.07459398982685654,Unf,-0.3689137607610984,974.0,0.18095042576315729,GasA,Fa,N,FuseA,0.5148445701262432,0,-0.11764705882352938,-0.28455239376510266,0.0,-0.2520334722678233,2,0,2,-0.16559760788883857,Fa,5,Typ,1,Gd,Detchd,1979.0,Unf,1.0,260.0,TA,TA,Y,-0.9506828398842129,-1.0821534772425476,2.3031061877595604,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,MnPrv,,-0.19087792627196232,5,2010,WD ,Normal,104000
287,909100110,0.6847658213614329,RL,-0.09592131539490549,-0.5357939539323358,Pave,,Reg,Bnk,AllPub,Corner,Gtl,SWISU,Norm,Norm,1Fam,2Story,6,4,1915,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,-0.8005598681826974,TA,TA,PConc,Gd,TA,No,Unf,-1.3556223614686533,Unf,-0.3689137607610984,806.0,-0.5025895558888259,GasA,TA,N,FuseF,-0.8302549936812698,806,-0.11764705882352938,0.45348734882864017,1.0,-0.2520334722678233,1,1,4,-0.16559760788883857,Fa,6,Typ,0,,Detchd,1920.0,Unf,1.0,216.0,TA,TA,Y,-0.9506828398842129,0.8618156026539181,2.3233902019683326,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,5,2010,WD ,Normal,128000
288,909101070,-0.5158490128824644,RL,-1.1737777626639225,-0.1879114415102186,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,3,3,1914,1950,Gable,CompShg,Stucco,Stucco,,-0.8005598681826974,TA,Fa,BrkTil,TA,Fa,No,Rec,0.11649704843158101,Unf,-0.3689137607610984,661.0,-0.36658587656222497,GasA,TA,N,FuseF,-0.7453092507633892,0,-0.11764705882352938,-1.5391022021892657,1.0,-0.2520334722678233,1,0,2,-0.16559760788883857,TA,5,Typ,0,,Detchd,1938.0,Unf,1.0,200.0,TA,Fa,Y,-0.9506828398842129,-1.0821534772425476,2.3208359214635226,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,6,2010,WD ,Normal,58500
289,909176140,0.23178037960451875,RL,-0.9004912020354365,-1.1266057174372572,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,1Fam,1.5Fin,5,6,1924,1950,Gable,CompShg,BrkFace,Wd Sdng,,-0.8005598681826974,TA,TA,BrkTil,TA,TA,No,LwQ,0.15059407084265308,Unf,-0.3689137607610984,808.0,0.0020612974805310296,GasA,TA,Y,SBrkr,-0.2074701205931614,665,-0.11764705882352938,0.5345120304447594,0.0,-0.2520334722678233,2,0,3,-0.16559760788883857,Gd,6,Typ,1,Gd,Detchd,1924.0,Unf,1.0,308.0,TA,TA,Y,-0.9506828398842129,-1.0821534772425476,2.325753167489965,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,5,2010,WD ,Normal,127000
290,909176150,-0.5158490128824644,RL,-0.3866826538075703,-0.2658442781189611,Pave,,Reg,Lvl,AllPub,Corner,Gtl,SWISU,Norm,Norm,1Fam,1Story,6,6,1939,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,-0.8005598681826974,TA,TA,CBlock,TA,TA,No,Rec,0.19335342537956005,Unf,-0.3689137607610984,618.0,-0.38520884716532794,GasA,TA,Y,SBrkr,-0.7745809004175646,0,-0.11764705882352938,-1.5679719753331502,1.0,-0.2520334722678233,1,0,2,-0.16559760788883857,TA,4,Typ,1,Gd,Detchd,1939.0,Unf,2.0,399.0,TA,TA,Y,-0.9506828398842129,-1.0821534772425476,-0.4309900586356161,-0.11309063567309342,3.231936612319395,-0.06675802219656336,,,,-0.19087792627196232,3,2010,WD ,Normal,126000
291,909177100,1.003334441155785,RH,-0.3866826538075703,-0.4426326245153247,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Norm,Norm,Duplex,2Story,4,6,1967,1967,Flat,Tar&Grv,Plywood,CBlock,,-0.8005598681826974,TA,TA,Slab,,,,,-1.3556223614686533,,-0.3689137607610984,0.0,-3.015058239039163,GasA,TA,Y,SBrkr,-0.7526001538663883,1788,-0.11764705882352938,1.9101820841047727,0.0,-0.2520334722678233,3,0,6,3.891437000695665,TA,10,Min2,0,,,0.0,,0.0,0.0,,,Y,-0.9506828398842129,-1.0821534772425476,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,Shed,5.238950464126866,2,2010,WD ,Normal,160000
292,909250030,0.23178037960451875,RL,-0.8472526249439328,0.16933581561717295,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Feedr,Norm,1Fam,1.5Fin,5,2,1931,1950,Gable,CompShg,VinylSd,VinylSd,,-0.8005598681826974,TA,TA,PConc,TA,Fa,No,Unf,-1.3556223614686533,Unf,-0.3689137607610984,894.0,-0.2971215294514059,GasA,Ex,Y,SBrkr,-0.6380428648333168,772,-0.11764705882352938,0.4887415885016148,1.0,-0.2520334722678233,1,0,3,-0.16559760788883857,TA,7,Typ,1,Gd,,0.0,,0.0,0.0,,,N,-0.9506828398842129,1.2787667387414512,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,5,2010,WD ,Normal,100000
293,909250060,0.23178037960451875,RL,-0.9004912020354365,0.12811815520994563,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SWISU,Feedr,Norm,1Fam,1.5Fin,6,7,1919,1990,Gable,CompShg,Wd Sdng,Wd Shng,,-0.8005598681826974,TA,TA,PConc,TA,TA,No,Unf,-1.3556223614686533,Unf,-0.3689137607610984,804.0,-0.5073212584752638,GasA,Ex,Y,SBrkr,1.3393998325328256,748,-0.11764705882352938,1.6668165909500003,0.0,-0.2520334722678233,2,0,4,-0.16559760788883857,Gd,10,Min2,1,Gd,Detchd,1969.0,Unf,1.0,336.0,TA,TA,Y,1.1886774022700055,-1.0821534772425476,2.307518023319963,-0.11309063567309342,3.231887983110528,-0.06675802219656336,,,,-0.19087792627196232,3,2010,WD ,Normal,169000
294,909281080,0.23178037960451875,RL,0.45360162501206924,0.29066445979511113,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Crawfor,Norm,Norm,1Fam,1.5Fin,7,6,1941,1985,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,1.3621125438187076,Gd,Gd,BrkTil,Gd,TA,No,ALQ,0.4998639987204312,BLQ,2.7120380265998247,850.0,1.0649074489303068,GasA,Ex,Y,SBrkr,0.3415674922754074,908,-0.11764705882352938,1.2467572243871412,1.0,-0.2520334722678233,1,1,4,-0.16559760788883857,TA,8,Typ,2,TA,Attchd,1941.0,Unf,1.0,312.0,TA,TA,Y,-0.9506828398842129,-1.0821534772425476,2.3197615893743295,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,7,2010,WD ,Normal,257500
